Age (Years),Reported Height (cm),Reported Weight (kg),Shoe Size NL,shape,Inverted Triangle,Rectangle,Triangle
40.8,179.0,79.0,43.0,Rectangle,0.0,1.0,0.0
28.9,174.0,84.0,40.5,Rectangle,0.0,1.0,0.0
21.0,192.0,84.0,44.0,Rectangle,0.0,1.0,0.0
37.8,170.0,70.0,41.0,Rectangle,0.0,1.0,0.0
43.1,169.0,72.0,40.0,Inverted Triangle,1.0,0.0,0.0
46.0,191.0,78.0,45.0,Triangle,0.0,0.0,1.0
32.1,174.0,78.0,42.0,Rectangle,0.0,1.0,0.0
18.8,165.0,63.0,40.5,Inverted Triangle,1.0,0.0,0.0
20.6,170.0,63.0,42.0,Rectangle,0.0,1.0,0.0
21.5,172.0,64.0,41.5,Inverted Triangle,1.0,0.0,0.0
20.0,178.0,78.0,43.0,Rectangle,0.0,1.0,0.0
42.0,204.0,125.0,48.0,Rectangle,0.0,1.0,0.0
24.0,169.0,65.0,41.0,Rectangle,0.0,1.0,0.0
33.0,176.0,70.0,42.0,Rectangle,0.0,1.0,0.0
27.1,172.0,66.0,42.0,Rectangle,0.0,1.0,0.0
35.0,175.0,70.0,43.0,Rectangle,0.0,1.0,0.0
31.0,202.0,140.0,49.0,Triangle,0.0,0.0,1.0
20.5,166.0,47.0,41.0,Triangle,0.0,0.0,1.0
27.0,181.0,70.0,42.0,Rectangle,0.0,1.0,0.0
39.4,170.0,78.0,42.0,Inverted Triangle,1.0,0.0,0.0
39.0,183.0,105.0,43.0,Triangle,0.0,0.0,1.0
23.8,175.0,85.0,43.0,Rectangle,0.0,1.0,0.0
30.0,192.0,75.0,42.0,Rectangle,0.0,1.0,0.0
26.0,200.0,92.0,47.0,Inverted Triangle,1.0,0.0,0.0
18.3,160.0,54.0,41.0,Inverted Triangle,1.0,0.0,0.0
36.6,169.0,63.0,39.0,Inverted Triangle,1.0,0.0,0.0
32.7,175.0,77.0,42.0,Inverted Triangle,1.0,0.0,0.0
60.0,163.0,65.0,40.0,Triangle,0.0,0.0,1.0
18.0,195.0,83.0,46.0,Rectangle,0.0,1.0,0.0
24.2,170.0,61.0,40.5,Rectangle,0.0,1.0,0.0
61.0,177.0,76.0,43.0,Triangle,0.0,0.0,1.0
26.4,170.0,70.0,41.0,Rectangle,0.0,1.0,0.0
19.0,187.0,80.0,44.0,Rectangle,0.0,1.0,0.0
42.0,179.5,85.0,43.0,Rectangle,0.0,1.0,0.0
20.0,173.0,65.0,41.0,Rectangle,0.0,1.0,0.0
30.0,191.0,88.0,44.0,Rectangle,0.0,1.0,0.0
30.0,185.0,76.0,43.0,Triangle,0.0,0.0,1.0
56.0,175.0,105.0,45.0,Triangle,0.0,0.0,1.0
25.0,182.0,65.0,41.5,Rectangle,0.0,1.0,0.0
28.0,178.0,72.0,42.0,Rectangle,0.0,1.0,0.0
27.0,183.0,78.0,43.0,Rectangle,0.0,1.0,0.0
38.0,193.0,75.0,44.0,Inverted Triangle,1.0,0.0,0.0
23.8,169.0,58.0,41.0,Inverted Triangle,1.0,0.0,0.0
18.9,175.0,60.0,41.0,Rectangle,0.0,1.0,0.0
59.6,175.0,70.0,42.0,Triangle,0.0,0.0,1.0
55.4,177.0,76.0,40.0,Triangle,0.0,0.0,1.0
28.1,181.5,73.0,43.5,Rectangle,0.0,1.0,0.0
23.4,182.0,71.0,42.0,Inverted Triangle,1.0,0.0,0.0
35.1,166.0,61.0,40.0,Inverted Triangle,1.0,0.0,0.0
19.0,180.0,72.0,43.0,Rectangle,0.0,1.0,0.0
20.0,184.0,88.0,44.0,Inverted Triangle,1.0,0.0,0.0
19.7,180.0,66.0,42.5,Inverted Triangle,1.0,0.0,0.0
62.0,175.0,79.0,46.0,Triangle,0.0,0.0,1.0
29.0,182.0,63.0,42.0,Inverted Triangle,1.0,0.0,0.0
34.7,165.0,59.0,40.5,Rectangle,0.0,1.0,0.0
24.0,180.0,66.0,43.0,Triangle,0.0,0.0,1.0
44.1,175.0,70.0,42.0,Rectangle,0.0,1.0,0.0
35.2,170.0,62.0,39.0,Rectangle,0.0,1.0,0.0
30.0,175.0,63.0,42.0,Inverted Triangle,1.0,0.0,0.0
50.0,163.0,70.0,41.0,Inverted Triangle,1.0,0.0,0.0
49.3,163.0,78.0,40.0,Triangle,0.0,0.0,1.0
20.3,179.0,72.0,43.5,Inverted Triangle,1.0,0.0,0.0
19.0,196.0,87.0,46.0,Rectangle,0.0,1.0,0.0
19.0,196.0,85.0,46.0,Triangle,0.0,0.0,1.0
30.0,187.0,80.0,42.0,Triangle,0.0,0.0,1.0
22.8,179.0,73.0,43.0,Inverted Triangle,1.0,0.0,0.0
33.0,180.0,88.0,42.0,Triangle,0.0,0.0,1.0
41.0,188.0,82.0,43.0,Rectangle,0.0,1.0,0.0
58.0,188.0,85.0,46.0,Triangle,0.0,0.0,1.0
43.0,182.0,84.0,44.0,Inverted Triangle,1.0,0.0,0.0
